drop,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143,e144,e145,e146,e147,e148,e149
11,-6.0914,8.2229,2.5349,8.9444,3.9844,7.4482,-1.2424,3.5858,13.5275,-6.1177,5.8813,8.4897,2.1056,3.8261,6.3982,-3.3515,2.0871,-4.44,-3.4562,-3.1578,-0.7313,0.7489,2.3152,-7.2545,10.1339,5.9176,3.7178,-1.8327,-0.4565,2.8058,2.1072,-8.6053,3.7964,14.9412,-9.4664,5.0984,1.8925,-0.5721,7.0351,-6.068,0.8355,7.5098,-1.0105,-2.1463,0.5899,-2.2838,7.9458,-4.6592,4.4847,-6.4334,3.4379,-0.539,-13.2758,-0.0307,-5.4839,-2.2839,7.9078,-5.7429,-5.4498,7.4044,0.596,7.9237,1.663,-4.5353,-0.3408,6.3206,4.8375,0.0046,0.2507,-0.5785,-2.9733,9.9294,0.037,-5.8145,-2.4521,3.7341,3.2978,-0.705,-3.4363,0.1229,-8.6034,-6.6922,4.107,-2.4638,1.9274,6.263,3.3396,0.1059,10.9399,3.4325,-1.8223,3.7635,2.0967,-4.3999,0.3751,-0.8481,-10.1078,-0.8863,-1.4553,-2.2532,-8.4555,-1.8233,-0.204,0.524,-5.8368,3.2511,-6.2484,-1.1502,6.7083,-3.5588,-2.625,5.5168,-1.9736,-1.5263,1.1368,5.3921,-11.3231,-4.2559,-5.1746,-5.5721,-4.3889,-4.3077,1.5461,-4.5606,0.6279,2.0571,-3.7403,0.6694,8.3876,1.6503,-3.2649,-0.3326,-4.6897,1.3857,4.4122,-4.1897,-1.0697,5.6865,-2.5424,0.9605,-5.2307,-4.1839,-2.6173,10.8816,-2.0453,-2.6498,-2.816,-0.828,3.2797,0.9475
12,10.2891,1.069,7.237,1.3836,3.0279,-7.218,-0.6353,-0.3447,-1.2148,-10.7644,4.4031,-1.9358,-2.1904,-1.2759,-1.1404,2.0355,-6.3552,-4.6552,1.4532,0.7279,-1.8833,-2.8696,-4.1721,-0.2918,5.9037,-5.2903,7.6166,4.2199,-2.2648,3.9154,-7.3295,-8.6579,-6.4489,-2.0487,-1.627,-2.5757,0.4971,-10.6758,2.4767,-7.0965,-3.3043,-2.0643,-5.7811,-6.855,-5.0304,-0.0596,2.9499,2.8212,-4.9725,-3.9579,-4.603,2.2491,-10.1871,6.1917,-2.424,-3.9176,1.6973,5.1631,1.7129,5.2637,0.6718,6.1482,6.2258,-0.4974,7.196,0.8237,0.4345,-4.6074,-1.4439,3.8879,-6.5632,3.2481,1.7431,1.3878,-11.0325,-0.5162,3.2413,-3.8148,0.4515,-11.8904,3.357,-3.3122,4.3568,-9.2139,3.4613,-1.1847,4.038,-4.6285,-3.0923,11.2123,-4.1498,-3.5301,-1.3829,-5.1128,5.9523,8.6251,-3.5205,-8.6302,5.8599,5.542,4.1083,5.7826,-4.3376,-0.8425,-6.9205,-7.0908,4.9055,-3.3596,11.3979,0.3709,-3.2021,3.9894,9.0063,2.4307,-6.0857,1.855,6.878,-2.4662,-3.8682,5.0822,0.6998,-5.5127,-1.8987,-3.7783,1.4813,0.5484,5.7522,3.5483,-7.8177,2.035,4.4847,2.2794,5.1503,-2.7479,-4.7542,4.6504,-5.3273,-10.7977,5.1265,-3.6209,-1.5303,-6.9899,-6.6276,-5.7829,-1.8032,1.85,-11.4891,3.7609,-5.91,-5.3316
13,3.3893,-0.3732,-7.6822,9.223,-4.3031,1.2366,0.9995,7.0566,-2.2783,5.0404,-3.7094,5.6106,-3.8149,-1.811,9.4798,1.5849,0.5488,11.2102,1.8068,-4.0807,3.6731,-5.9084,5.6416,6.0299,-2.8648,-3.1395,0.8825,0.0708,-4.8884,2.8404,-10.2094,-2.1643,-2.0197,-1.3663,1.5361,-6.1401,2.9426,-0.9008,-3.2511,-6.8341,-5.9155,1.8016,-4.8192,0.321,5.3099,5.1632,7.802,-1.4815,-5.4257,5.1026,1.548,5.6198,0.0553,5.9782,4.2319,3.5821,2.5176,1.9885,1.1652,1.1295,4.951,-2.5599,8.6784,-0.5312,4.9269,-0.4512,-1.2333,10.1612,-1.5467,-6.3861,-3.5704,-1.5861,10.776,1.0338,4.6736,-5.008,1.763,3.3574,9.0081,-3.4814,3.0174,1.5129,-5.1086,-0.0973,-1.3174,-11.6268,2.9933,2.7012,-2.1947,-6.6928,7.3994,1.33,5.0835,7.0516,-2.6045,4.0608,-1.2057,-0.3127,-0.4281,-0.0066,5.5698,0.6191,-0.7687,-1.3827,1.7066,-4.4743,-2.5133,-0.2614,-2.8292,-0.5924,-3.0539,10.0198,6.6453,2.2498,-0.2681,10.9538,1.6148,-0.4342,1.5156,1.5297,7.0516,-0.0948,10.4966,-4.4101,3.4703,-5.0091,9.0855,-1.6528,-0.2909,4.6212,6.2767,-5.5594,-1.7308,-6.9746,0.6865,-0.5069,-1.7447,-3.4223,-1.9295,-3.732,2.6448,7.5798,-9.6536,-0.5798,-2.0909,2.4618,-4.7588,-0.7322,-5.198,3.4835
14,0.4964,-0.8074,1.8509,-1.2324,-7.7691,2.9787,1.4414,-0.7704,4.9246,6.0925,-5.4614,-3.9054,7.7364,7.0943,-3.692,-5.9036,-3.1878,-2.4906,-7.9203,0.1558,-6.4009,-6.0519,4.5805,-3.4159,-0.3574,3.1455,4.0661,-1.6851,0.2206,-4.127,8.7369,3.2497,-5.5162,0.0203,3.5678,2.3971,9.1459,6.8616,-2.6965,-0.4459,-6.4077,1.2473,0.7551,13.5174,0.4879,-10.4663,-3.3604,0.5617,-6.2801,-4.336,-1.8282,1.7091,-0.8267,-4.4462,3.9384,-2.6982,-2.4965,-6.8983,-3.9301,3.2589,-8.0883,-0.3559,3.5886,-1.8855,1.199,-5.584,6.5514,5.5053,1.1775,-8.7754,-5.2298,4.8835,8.5656,1.4831,6.2366,-3.0388,-0.9469,0.0057,2.1155,-7.644,4.7033,6.6127,-5.7437,-6.7767,1.7528,-3.2716,-11.8541,4.0429,0.778,-2.3832,10.5672,0.6945,-3.7672,0.5058,-5.2003,-3.8085,1.9318,-2.771,-2.2549,8.3447,4.2982,4.0141,2.6441,2.421,7.2829,-0.0977,9.2776,-4.757,-1.2752,-6.893,-1.7189,2.5922,7.2562,-3.3166,0.0265,-1.7961,-3.693,-5.9469,0.3033,-8.6603,0.5527,0.1048,-3.2888,-5.0545,-6.9215,9.3566,-6.7099,7.7885,3.0008,-1.8201,-5.7854,5.2125,8.6483,-4.6701,-1.4937,5.2581,1.6789,9.9998,-2.8507,2.7115,-6.2546,10.4795,-3.6517,-11.0398,-0.6288,-0.6972,9.5779,-1.6941,-0.0632,2.9672
15,7.9314,-0.3161,5.1974,2.5904,-1.4812,0.3878,0.1434,-4.5801,6.0684,-6.9281,5.8558,4.7721,-0.4652,-3.8272,-1.1321,2.3639,3.7153,1.4346,4.9607,-2.7872,1.1729,-7.8417,3.8181,0.7659,-2.0779,5.8077,3.4576,-14.082,0.1994,-7.2751,5.3333,12.4454,-2.5927,0.3729,-1.2552,1.7541,3.2227,6.436,-4.9371,7.8582,-4.6576,1.3854,5.7929,3.566,-4.6929,-3.5096,-2.3117,-0.2558,5.7348,-6.4591,2.3335,3.0499,2.7914,2.3315,7.5916,2.439,4.2848,2.8177,8.9656,-9.499,6.4105,-1.3052,-1.4036,-4.8474,-9.3435,-1.9095,-3.4365,2.4709,-7.3613,7.1581,1.3597,-1.2395,-3.5471,-3.936,-5.6504,-2.7218,0.0303,-0.8868,-7.0724,-1.3291,-4.4659,0.7994,9.3233,3.1251,-1.5656,-8.1244,-7.0736,-8.4336,3.6298,-3.8253,0.313,-3.1101,0.456,7.0084,-3.4247,-1.7048,-4.0317,4.3729,-5.1286,-5.6649,-6.9383,-7.0424,2.3545,12.8456,-4.9769,4.7577,1.2555,-5.5101,-1.3835,-1.1646,-3.4535,9.653,-9.5306,1.9052,1.6576,-2.8981,0.7475,4.388,0.7637,2.0866,3.4646,-10.1603,7.3919,11.3915,4.904,5.0683,-7.0412,-0.5921,-4.0602,-2.936,4.8352,-4.0195,-0.6505,-9.5429,-0.7922,0.4501,-3.524,-3.5994,9.4321,-6.0487,-5.2531,-4.0451,5.9941,10.5077,1.6609,-3.5866,-2.1387,5.3241,-4.5553,7.2647
16,7.0829,0.351,3.2306,3.7487,7.7711,-5.2573,5.906,-1.8761,-3.8388,0.5134,-1.0717,-4.9375,-7.9867,-4.7105,7.2618,9.8128,3.2506,5.9296,-2.5842,-0.3858,1.4138,-5.4064,-4.9497,0.4859,-1.6015,-5.3178,1.9327,-1.3164,5.1068,-0.0259,-1.5015,0.6384,-0.8599,-3.3402,-2.0098,3.7471,3.2326,6.4311,-8.465,-1.9655,-2.0729,0.8589,-2.2608,-2.5659,3.9149,0.8904,-5.8318,6.6725,4.9838,-2.8698,4.1564,-3.6758,5.6285,-1.0892,-4.0142,-1.8655,-3.8292,0.9607,0.8755,0.179,-2.7831,-18.3054,0.4642,-9.4812,1.2209,5.654,1.3694,-1.9472,-0.8994,-0.6653,-2.7462,-2.9189,-4.6195,5.9408,-0.0778,4.7814,-1.2503,0.3608,-0.8519,2.3142,4.1332,1.1985,-3.3691,-3.8998,8.2959,-1.4002,-1.4555,7.325,5.4393,2.6692,-1.997,11.766,1.9649,2.7349,-0.8555,-7.0715,-6.6738,2.0349,1.9591,-1.2,-5.8584,-7.2083,-1.6393,-7.2806,4.4946,5.7633,14.1452,4.3916,-2.9642,-4.3583,-17.2586,-2.9744,-0.8849,4.839,3.058,2.9417,1.0681,3.3046,7.238,-5.3244,-2.2865,-6.9427,8.0933,6.4843,3.7614,-5.9928,0.8647,-1.1732,0.4041,-0.9406,2.5998,-1.9742,4.2729,1.207,-1.4654,-0.5593,-2.2029,4.0694,-1.3573,1.4745,-1.962,-7.4255,4.5305,-5.2906,3.3958,2.1008,-8.2802,-4.7234,-2.5705,-4.1036
17,-5.9104,3.7005,-1.1975,1.9285,-2.1525,1.5266,-3.7558,-0.1326,2.9092,0.2254,-2.2856,-5.4333,0.8382,1.7247,-1.2918,-3.8466,2.7129,12.4087,-1.5123,1.6837,1.887,-12.8323,0.6193,-3.5326,6.9234,-1.2699,-3.8877,-1.0925,0.8328,-2.7995,-0.2633,-6.7708,-1.1263,3.8784,9.8459,3.5326,1.3597,5.9188,5.0955,8.3192,5.4133,-0.5893,1.2922,0.8958,1.5107,1.0016,-3.9121,-10.5182,-3.3584,-10.1302,0.3398,0.0227,-8.3779,3.4408,4.3343,0.4793,8.3383,9.3583,-6.03,5.1835,2.2042,2.0916,4.6722,-3.5958,-2.9619,-4.1334,-3.7745,-0.4926,-7.2591,-5.2286,2.8876,-0.3548,1.9148,-9.4463,-3.9193,-2.7771,0.1627,-2.9314,4.6661,-0.2914,0.0851,0.0677,3.5399,-2.3581,5.612,2.3003,0.7702,0.2087,2.6015,5.077,4.7276,1.8793,4.3836,0.5918,6.2625,-0.133,-10.3757,6.6894,0.5393,-5.8554,-0.9911,-4.4192,10.501,2.4884,-7.8436,2.7308,-1.9937,9.5839,-5.2635,-11.2351,0.3293,-1.7401,-2.0829,-10.7062,2.134,8.3667,-9.5452,5.8561,-2.8436,11.745,2.18,-0.9392,5.5269,2.6301,-2.9623,3.5511,-2.5535,-8.9424,10.158,-1.7479,-3.0451,1.6936,-7.7982,-6.7679,-2.4982,-2.5986,0.3594,5.6128,-2.3701,2.464,3.0077,-5.4204,1.1423,-4.7133,5.3195,2.2754,0.0825,-6.6985,0.58,-3.8351
18,3.5298,-0.5966,-4.0617,4.6276,3.6077,-2.9665,5.8101,-1.492,-1.5458,0.619,-3.7632,-2.2082,-0.8024,7.6514,7.4982,-1.2944,8.0522,-0.2164,1.9029,4.4179,1.4602,12.0759,1.2167,-5.9879,6.5274,-2.0603,-1.5214,-14.9584,5.0049,4.0922,3.9951,4.892,8.455,-0.23,4.6881,-3.7192,-1.769,5.2838,1.9556,-6.6671,1.8066,-0.9146,-4.0933,2.1714,-2.0225,-7.8524,-5.5558,8.8459,-7.5746,1.114,3.0503,3.1959,-6.1274,-1.6077,0.7042,4.001,-3.2248,-5.8174,5.0129,5.5258,1.8504,-3.0439,2.0338,0.5466,4.1881,-6.2456,0.5813,-0.7953,-5.5484,1.0782,0.1746,-2.0518,1.9801,-7.094,-0.2682,2.1571,1.4201,5.3821,-6.0056,-7.5394,1.1953,2.2758,10.5991,3.0831,-4.3697,4.0301,-4.2282,-7.4292,13.0455,1.6291,3.5748,2.8178,9.0604,1.4205,6.0885,-5.1364,-6.9608,7.1328,7.3743,2.5536,1.1303,0.8309,-3.4408,7.6932,3.2944,2.5295,1.8806,5.2396,2.525,3.7268,-5.8447,2.5502,10.936,-2.5926,-0.6441,4.4597,4.7865,3.1221,-8.088,2.5087,-5.9184,-4.1235,2.7403,-1.4791,4.0481,15.7407,3.8859,3.6143,-4.4786,-3.2148,-5.3183,-2.663,-5.4588,-3.2985,-1.0436,-5.0029,-7.0955,-6.8073,2.2696,0.2987,5.1297,5.2222,-1.7032,3.3502,-7.2026,11.4151,5.977,-1.0752,-5.816,1.9002
19,-9.3504,-3.8965,3.7438,0.3772,-2.4548,4.7537,-5.1932,1.4235,-2.4894,-4.2369,2.317,-4.9644,9.51,-2.9236,9.9491,-5.4699,3.0298,-5.9979,-6.7056,0.7985,3.3878,-6.3713,5.9207,-3.988,0.6561,1.8989,2.9734,-8.9891,8.0928,2.809,-2.128,-5.1208,-8.4704,-6.8071,2.7247,-1.7054,-5.6576,-2.6347,7.8206,-1.6534,-2.9222,6.753,2.3095,0.2214,-3.0389,-7.7621,-5.8527,-2.4023,-1.0981,1.7812,2.7588,1.1146,1.102,-5.0376,-10.7738,-2.6044,-4.7707,-3.2631,-1.3728,-6.218,-5.5526,-0.5016,0.5789,-3.28,2.4914,-1.0973,-5.0996,0.2037,9.4121,-3.3746,5.8307,6.8889,7.4908,-4.1131,10.0769,0.5817,-1.2689,-1.1517,3.0079,0.2556,-0.8845,6.4179,-3.6138,-5.2157,3.9655,3.518,5.4699,-5.361,5.407,2.4101,8.8129,-6.2414,1.0912,-1.3878,-7.9488,-3.5744,5.6353,-2.3448,-3.613,4.3413,4.9444,4.9339,-3.9485,-0.29,5.1533,-3.2802,-3.7467,4.1412,7.8117,-5.7604,-12.9878,-7.2516,-5.0623,-0.6884,3.0792,-0.7325,-3.5017,0.7668,-4.8094,-0.2346,-3.2078,13.4017,4.0839,-4.1751,-4.9847,-2.1909,-8.2244,-3.6525,-3.6911,4.4196,-2.133,-3.9527,-6.7023,-5.8832,-0.3318,-1.0756,5.6713,-3.1457,5.2959,1.2856,-0.0232,-10.0415,-6.4503,3.7071,6.9891,1.0322,3.8126,-2.0386,-1.8568,-3.3148
20,4.8735,1.714,-1.1708,-1.642,2.7825,1.6156,-4.1602,8.5799,1.2851,0.0524,7.3864,5.1201,-0.4398,2.6799,-5.3499,-3.2042,-11.3017,6.1018,-9.4921,3.4064,-4.1534,-4.8949,-0.9752,1.3321,3.0605,8.8582,1.7931,4.406,-2.9924,3.5686,0.7663,-2.3159,-0.4799,-0.3103,0.9556,2.007,-2.5445,-3.7039,3.7374,-8.4828,-3.091,7.7631,-13.536,-3.4653,3.4386,-8.2516,12.9907,-12.942,7.1828,7.7867,4.5818,-1.1079,1.7859,-4.4862,4.0466,-5.5993,-1.3694,4.9812,-5.5715,-1.8213,0.8213,-6.7089,5.8219,1.7039,-7.5779,-0.2348,-3.8767,-3.2878,0.3837,-3.5485,4.8226,-3.5233,4.9085,-0.2188,4.2788,-2.7067,-2.5264,-5.7623,2.8899,4.689,10.5959,6.4526,1.2489,-1.0549,1.9435,-0.1387,7.3174,4.7197,-4.1838,-3.4382,6.8364,1.5404,-1.1588,5.9317,-1.938,-1.3989,-2.3059,-9.8084,4.3213,-6.0454,-2.8435,-3.7194,3.635,-0.3429,0.0771,-8.3973,-0.4372,-7.3817,1.536,1.8336,-0.087,10.2157,2.6386,2.9791,0.7116,-0.9638,4.8296,5.5072,-6.5058,5.2724,2.5691,4.8035,2.3309,-6.2213,-5.8646,9.123,1.2621,-7.0863,1.7407,-1.8106,-9.2171,-11.4509,-8.0133,1.359,-0.2404,-1.2458,1.4234,3.0057,-10.5125,-1.5058,-4.1396,-6.166,-2.736,-0.6144,-1.3318,-7.2733,-2.4157,10.0792,-5.2728,-8.4355
21,1.3762,2.9831,2.3202,-5.5986,4.9905,-3.9267,-5.6744,-3.0424,-0.5435,3.5705,3.1192,-0.1125,4.6645,0.4074,4.4799,-7.0193,-7.8709,3.8786,-6.9504,-1.5076,-0.4905,-2.4398,-2.2674,6.9631,-12.648,4.4194,11.4759,0.1179,-0.0949,3.6319,9.1443,-5.9402,0.4384,-0.9311,2.7969,0.7959,3.2983,-2.1082,0.245,-3.3517,-3.3215,-0.7077,-0.71,-5.8624,7.8503,-0.6754,-6.9185,5.5077,-3.7414,2.5414,-0.0851,1.2531,0.8551,-2.8758,0.2047,10.1655,-11.188,0.3298,2.1749,-5.2614,-6.8517,10.7946,-1.8575,10.395,2.6788,0.3807,2.3799,3.175,5.8983,2.1791,0.7231,0.8814,6.7596,4.0848,-5.0101,-3.1781,1.6537,-3.1146,-1.8824,-4.7796,-1.3082,2.1181,4.9758,0.0462,10.3743,-0.3821,15.9671,5.0083,2.4836,-2.4952,-14.1225,-0.7757,0.8911,9.6123,-6.8987,9.5294,-1.2562,3.6203,-12.6992,0.6952,-1.7187,3.4121,0.4561,-5.7112,4.7349,3.4731,2.9838,5.0446,5.5048,-0.1091,-6.7883,-6.9248,6.7488,3.5522,0.5101,-2.1732,0.1578,0.124,-1.6838,-3.4951,10.8216,1.1428,-3.029,-6.5103,-3.6285,3.5986,3.7919,-1.0918,0.2586,-1.5253,-5.5392,6.5084,1.8632,12.3818,-3.7809,-0.6877,4.4149,-1.2255,-6.9385,-4.7443,0.5038,1.7168,-0.473,5.0174,4.9638,1.6139,0.1345,-1.2645,2.7551,4.5981
22,0.303,2.25,-1.6216,-7.0577,-5.0048,3.8288,2.235,7.9511,0.2805,4.3239,6.6151,4.9723,-3.0427,-0.9228,0.6489,-4.9293,2.3714,5.1199,-2.4043,9.8628,-1.4536,-1.0148,-1.1914,-3.5414,2.0893,0.1001,8.3069,3.0365,2.6884,-1.1077,-7.0712,-0.4475,-4.2515,4.7592,-0.1522,8.3287,3.6766,4.1777,1.1533,1.0434,3.2664,4.6133,-3.5529,2.4614,13.1054,-0.4485,-1.2777,-3.4623,-7.2428,5.9444,0.3048,1.4981,9.2242,12.5459,-4.4427,5.2728,3.1192,1.998,2.3999,-0.1077,7.9564,3.0832,1.7351,6.2471,4.4954,2.314,1.6478,8.7923,2.5615,-0.4351,-4.2717,-1.706,-5.2345,0.5523,1.2992,-10.2396,0.1056,3.2595,0.8464,-4.7597,6.3571,-3.4687,-6.1287,-5.3909,-0.0599,4.9269,5.8399,1.0603,-5.957,-3.2734,-4.4789,-0.8827,-8.8619,0.5638,3.2327,-0.7383,2.307,-4.6872,-7.2683,-3.1801,5.7903,5.1545,-2.2798,6.0231,-1.6204,7.5634,2.4168,-2.2563,3.9797,-3.8704,-4.6762,-7.2528,1.2929,-0.2658,-0.3856,-2.0493,7.1894,-2.118,-3.6171,6.2306,7.1064,1.6943,-8.7001,-2.9986,3.0645,0.0886,7.7704,-6.8346,3.3919,-3.1352,6.6152,-0.3756,5.1532,-3.2376,-7.0475,-5.5519,-3.0335,-5.1241,6.0023,6.6946,1.3652,-5.171,-0.5919,-3.4299,7.2704,1.5797,2.4472,-1.9984,-10.0566,-3.8557
23,-5.5832,1.8513,0.4827,-4.0081,-1.943,7.8324,-4.7967,-4.5898,-1.1417,-3.4957,-2.1437,2.6572,8.6611,-8.8975,-0.0912,0.2072,-0.4197,-0.9356,-1.7019,5.021,-2.3257,-0.6366,-0.0006,0.5375,-0.8543,4.9962,-0.0434,0.8703,-0.2573,-5.0151,-4.1498,-5.25,0.9632,-3.5675,-5.3069,1.1905,2.6252,-8.804,8.4484,0.1614,-0.5258,5.3339,0.3491,-3.0193,10.9729,-5.372,-0.4881,4.236,-5.3482,-0.5101,1.9328,12.0082,-4.464,-0.2383,3.2935,0.4052,-6.0142,2.0406,0.5377,2.2282,5.6573,5.066,2.0388,1.5529,-5.4924,-0.6716,1.1016,-2.0051,0.488,-4.1266,7.6716,10.7604,-1.9477,2.0018,-1.1708,6.3143,2.175,0.3867,-1.1183,0.6306,-5.0019,3.3777,-3.57,2.6744,0.6482,5.4747,-0.085,5.1154,-4.6118,3.0472,-1.1205,0.9711,0.3587,4.6815,-10.0981,1.6154,-7.4725,6.0341,-9.8637,-5.0189,-8.3694,8.1962,-6.445,0.5696,-2.679,-8.9988,-1.6864,3.3137,-0.9213,4.7054,-1.8096,0.0343,-1.924,1.7178,9.4946,1.8112,0.9722,-3.0921,-3.7774,7.3203,-5.5612,-4.5657,-0.4873,-2.1316,9.7809,-11.8312,1.8068,3.5636,-5.6025,-3.2229,2.163,8.1476,-4.6026,-7.8961,4.8623,7.6187,-1.6752,-11.0689,7.2593,-0.9927,5.6195,-0.2174,-1.8782,-2.2596,7.3672,7.1723,-10.6892,-4.6813,8.8854,-1.8365
24,-6.8024,0.0223,-0.5418,-0.4867,-2.3978,-1.5504,-2.2795,1.6695,-4.0637,-1.4482,-0.7204,6.5287,1.8671,-0.5485,2.6809,2.0306,5.4392,2.5326,8.9696,6.7231,-0.205,-2.0725,4.4128,2.5831,-0.4728,-7.3848,-9.1619,1.7413,3.8542,4.0172,-6.4359,5.1867,-2.6708,1.9421,2.0835,-4.0124,-2.9566,-10.3653,-4.5837,-9.0127,2.1868,0.3071,4.5703,1.7827,-3.1738,1.731,-1.9521,3.0453,1.5769,-4.9429,0.011,0.2767,-1.5386,4.4745,8.5653,-1.8387,-1.7535,-11.2403,-0.6446,-2.1809,-10.8059,1.4425,2.9551,-3.6705,-1.8631,-4.8324,3.8127,-7.5872,-1.5663,9.7554,0.2579,2.3397,-0.7333,-5.8721,-0.1634,2.0324,-5.1132,1.7081,6.2246,5.3484,-7.9137,-4.8764,-8.0684,5.3558,3.0516,3.5157,-4.3918,-5.8333,0.3845,0.5049,-4.2713,0.7109,3.2228,1.1401,-5.1969,-10.5633,-1.2944,0.8218,-1.3004,-2.1418,-3.4572,3.5782,-0.2619,0.6161,-4.8576,-3.1021,0.819,-5.0271,-6.2965,-1.6458,6.0049,0.9548,7.298,-0.6576,-1.5503,-6.9612,-2.8811,7.1759,1.6378,3.6656,3.5255,-0.0477,-1.024,0.5959,3.3565,2.2893,2.4599,0.7707,-3.8497,-1.308,-4.7073,5.0233,-10.5102,-1.0893,11.9361,-1.7077,-5.6739,-0.0898,6.4469,-0.8023,3.0667,0.4998,-1.8644,15.7514,0.3558,-2.6858,-2.4499,1.9029,2.0461,3.8601
25,0.7057,-7.1581,2.6596,-1.5448,-1.4305,-7.4146,-2.8676,-3.6342,-0.1823,-7.2671,0.2533,0.6217,-5.5988,-3.1233,-4.2878,4.5381,-12.6413,-1.7166,-8.3026,-2.1584,4.2337,-3.1531,0.6919,-4.2239,9.6974,4.566,5.636,-6.6409,-5.5054,5.3988,-0.9718,-1.2896,1.6689,-6.2759,3.8643,0.0916,2.3962,-3.3531,2.5661,-3.5244,4.7719,5.6482,4.5594,2.5823,3.1691,-13.5296,4.1744,-1.3702,0.4747,-1.4185,-6.9557,-2.6932,3.2927,7.0868,-3.1146,-4.5199,7.2588,-4.4128,10.3682,0.2532,-4.417,4.9217,8.4667,-7.1737,7.7948,-1.407,7.4316,-1.9023,-7.886,2.5098,4.6329,10.4798,8.618,3.4762,-1.1885,-2.6033,-1.4744,-4.1547,-1.3728,-12.7226,0.8943,-0.1447,12.8294,3.7937,-2.4011,2.8237,-6.1288,-3.0135,-9.338,7.1813,2.9667,-5.8779,-0.3024,4.7488,2.4755,1.9114,-4.2892,-3.1862,0.4758,4.6013,-4.1443,-5.607,5.7201,-4.6516,5.3858,1.2153,4.4052,8.7219,3.4433,3.8802,-4.5892,-3.4759,3.2197,7.6713,6.9605,11.5833,1.5545,1.0139,5.031,0.0946,-0.3123,-5.2368,4.9561,-5.36,2.5613,-7.0959,5.4817,-5.144,4.2174,-7.9467,-2.1991,5.8917,-4.0267,0.336,-2.3922,-11.5472,1.5403,2.1613,-5.5389,2.8684,-3.9785,-5.017,0.0343,-3.4071,11.4622,-7.7746,3.6922,4.9445,-9.8964,-8.6624
26,2.812,-2.4076,1.9178,5.6972,-1.8607,-5.3198,-13.6472,1.023,-4.6431,1.5669,1.1581,-6.9223,8.6194,5.4163,4.2414,-5.9224,-2.0372,-2.7346,-2.0738,-5.6205,2.1732,1.1462,1.8269,-2.5297,6.4551,0.9387,-13.6891,-3.2006,-0.285,4.8266,-1.5036,-1.2504,-3.3141,3.3278,-2.2379,-3.0173,-3.7108,2.7829,-2.6649,-8.3795,3.1133,-3.5067,1.785,1.8689,6.018,5.2227,-2.8751,-0.8319,-6.452,8.3867,2.2081,6.9721,-1.595,-10.2457,7.6586,0.4656,0.6659,0.2773,3.2234,2.6657,-7.9527,5.4345,-2.6448,-2.3352,8.6371,4.6028,-1.6909,-9.282,0.8082,2.6933,-0.4027,-6.2302,-3.9534,-6.2761,1.077,4.0971,5.127,-3.6611,1.1751,2.7703,-2.5557,-0.7425,10.6193,1.0256,4.4148,-2.1742,0.2088,-8.5716,-0.1253,5.9614,10.4945,5.9832,3.4343,0.2648,-2.9998,-0.8014,3.0642,-3.9257,4.6656,-4.9206,-8.8962,-5.0605,-8.3269,-6.8617,5.6607,-1.0008,1.0929,5.7906,6.2955,-2.523,6.6428,1.923,0.0166,2.2105,-7.1281,-3.9305,-0.5407,3.0485,-1.8602,-0.6366,4.8472,7.0585,3.8357,6.3421,-2.0218,-1.5322,1.5918,-1.5054,-2.5356,8.2607,-1.0059,-4.8301,2.437,9.179,0.404,6.1569,-2.1892,-2.4566,-3.4491,-0.7171,9.1817,-5.7775,8.1862,-5.0422,-1.1691,4.179,3.1513,1.4102,-8.2468,1.8112
